id,name,rating,area_genre,master_genres,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1306-A130602-13006991,しまだ,3.67, 表参道駅 145m / カレーうどん、そば、居酒屋,"[""そば/うどん"", ""居酒屋""]","[2000, 2999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13006991/,https://tblg.k-img.com/restaurant/images/Rvw/545/545619.jpg
tokyo-A1306-A130602-13168569,Urth Caffé 表参道,3.79, 表参道駅 304m / カフェ、パンケーキ、ケーキ,"[""カフェ/スイーツ""]","[1000, 1999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130602/13168569/,https://tblg.k-img.com/restaurant/images/Rvw/46981/46981706.jpg
tokyo-A1306-A130603-13005423,NARISAWA,4.36, 青山一丁目駅 241m / イノベーティブ・フュージョン,[],"[20000, 29999]","[30000, 39999]",https://tabelog.com/tokyo/A1306/A130603/13005423/,https://tblg.k-img.com/restaurant/images/Rvw/80254/80254103.jpg
tokyo-A1306-A130603-13169725,アミニマ,3.55, 外苑前駅 482m / ビストロ、カフェ,"[""フレンチ"", ""カフェ/スイーツ""]","[2000, 2999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130603/13169725/,https://tblg.k-img.com/restaurant/images/Rvw/36484/36484260.jpg
tokyo-A1306-A130602-13191443,FRANZE & EVANS LONDON 表参道店,3.58, 表参道駅 282m / カフェ、ケーキ、地中海料理,"[""カフェ/スイーツ"", ""西洋(その他)""]","[1000, 1999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130602/13191443/,https://tblg.k-img.com/restaurant/images/Rvw/68104/68104042.jpg
tokyo-A1307-A130701-13213853,バイキングベーカリー エフ,3.56, 乃木坂駅 154m / パン、カフェ,"[""カフェ/スイーツ""]","[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1307/A130701/13213853/,https://tblg.k-img.com/restaurant/images/Rvw/95083/95083962.jpg
tokyo-A1306-A130603-13185969,まめ,3.7, 外苑前駅 372m / 和菓子、大福,"[""カフェ/スイーツ""]","[0, 999]",[0],https://tabelog.com/tokyo/A1306/A130603/13185969/,https://tblg.k-img.com/restaurant/images/Rvw/111188/111188766.jpg
tokyo-A1306-A130602-13002118,希須林 青山,3.7, 表参道駅 67m / 中華料理、担々麺,"[""中華料理""]","[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1306/A130602/13002118/,https://tblg.k-img.com/restaurant/images/Rvw/75572/75572768.jpg
tokyo-A1306-A130603-13209346,An Di,3.8, 外苑前駅 394m / ベトナム料理、アジア・エスニック料理（その他）、ワインバー,"[""アジア(その他)"", ""バー""]","[6000, 7999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13209346/,https://tblg.k-img.com/restaurant/images/Rvw/97173/97173258.jpg
tokyo-A1306-A130602-13197047,ミモザ,4.02, 表参道駅 212m / 上海料理,"[""中華料理""]",[0],"[10000, 14999]",https://tabelog.com/tokyo/A1306/A130602/13197047/,https://tblg.k-img.com/restaurant/images/Rvw/76924/76924297.jpg
tokyo-A1306-A130603-13208304,たでの葉,3.95, 外苑前駅 270m / 炭火焼き、ろばた焼き、割烹・小料理,"[""和食""]",[0],"[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13208304/,https://tblg.k-img.com/restaurant/images/Rvw/90839/90839253.jpg
tokyo-A1306-A130603-13132894,五丁目 千 きいろ,3.58, 外苑前駅 267m / 懐石・会席料理、しゃぶしゃぶ、すき焼き,"[""和食"", ""鍋料理""]","[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13132894/,https://tblg.k-img.com/restaurant/images/Rvw/10446/10446434.jpg
tokyo-A1306-A130603-13127842,スパイシービストロ タップロボーン 南青山本店,3.66, 青山一丁目駅 146m / スリランカ料理、カレー（その他）,"[""南アジア料理"", ""カレー""]","[1000, 1999]",[0],https://tabelog.com/tokyo/A1306/A130603/13127842/,https://tblg.k-img.com/restaurant/images/Rvw/19126/19126170.jpg
tokyo-A1306-A130602-13005327,LOTUS,3.5, 表参道駅 354m / カフェ,"[""カフェ/スイーツ""]","[1000, 1999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130602/13005327/,https://tblg.k-img.com/restaurant/images/Rvw/11247/11247776.jpg
