id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1311-A131101-13016717,陽山道 上野本店,3.6, 御徒町駅 171m / 焼肉、韓国料理、ホルモン,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1311/A131101/13016717/,https://tblg.k-img.com/restaurant/images/Rvw/18161/18161797.jpg
tokyo-A1311-A131101-13009787,故郷味 上野店,3.64, 御徒町駅 144m / 四川料理、上海料理、中華料理,"[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1311/A131101/13009787/,https://tblg.k-img.com/restaurant/images/Rvw/54148/54148683.jpg
tokyo-A1311-A131101-13018455,蓮風,3.53, 湯島駅 245m / 中華料理、広東料理、中国茶専門店,"[2000, 2999]","[8000, 9999]",https://tabelog.com/tokyo/A1311/A131101/13018455/,https://tblg.k-img.com/restaurant/images/Rvw/66109/66109133.jpg
tokyo-A1311-A131101-13003586,鰻割烹 伊豆栄 本店,3.59, 上野御徒町駅 201m / うなぎ、懐石・会席料理、和食（その他）,"[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13003586/,https://tblg.k-img.com/restaurant/images/Rvw/35387/35387985.jpg
tokyo-A1311-A131101-13138391,古拙,3.63, 湯島駅 303m / そば、割烹・小料理、懐石・会席料理,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13138391/,https://tblg.k-img.com/restaurant/images/Rvw/28864/28864302.jpg
tokyo-A1311-A131101-13040913,宝亭,3.51, 仲御徒町駅 300m / 洋食、シチュー、西洋各国料理（その他）,"[0, 999]","[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13040913/,https://tblg.k-img.com/restaurant/images/Rvw/24841/24841344.jpg
tokyo-A1311-A131101-13016746,中国料亭 翠鳳,3.54, 上野駅 281m / 中華料理、上海料理,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1311/A131101/13016746/,https://tblg.k-img.com/restaurant/images/Rvw/46462/46462368.jpg
tokyo-A1311-A131101-13150158,ワインバル 八十郎,3.57, 御徒町駅 163m / ビストロ、バル・バール、ワインバー,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13150158/,https://tblg.k-img.com/restaurant/images/Rvw/45353/45353329.jpg
tokyo-A1311-A131101-13189676,味坊鉄鍋荘,3.68, 湯島駅 126m / 中華料理,[0],"[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13189676/,https://tblg.k-img.com/restaurant/images/Rvw/50340/50340188.jpg
tokyo-A1311-A131101-13186202,もつ焼き おとんば 上野店,3.59, 京成上野駅 306m / 居酒屋、もつ焼き、ホルモン,"[0, 999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13186202/,https://tblg.k-img.com/restaurant/images/Rvw/78176/78176667.jpg
tokyo-A1311-A131101-13111572,過橋米線 上野店,3.54, 稲荷町駅 224m / 四川料理、居酒屋、中国鍋・火鍋,"[0, 999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13111572/,https://tblg.k-img.com/restaurant/images/Rvw/26085/26085822.jpg
tokyo-A1311-A131101-13144473,ファンタジスタ,3.57, 上野広小路駅 68m / ピザ、イタリアン、居酒屋,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13144473/,https://tblg.k-img.com/restaurant/images/Rvw/48399/48399632.jpg
tokyo-A1311-A131101-13108712,鳥番長 上野昭和通り店,3.57, 御徒町駅 280m / 焼鳥、鳥料理、居酒屋,"[0, 999]","[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13108712/,https://tblg.k-img.com/restaurant/images/Rvw/22828/22828312.jpg
tokyo-A1311-A131101-13070050,北畔,3.56, 京成上野駅 310m / 居酒屋、鍋（その他）、魚介料理・海鮮料理,[0],"[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13070050/,https://tblg.k-img.com/restaurant/images/Rvw/80571/80571512.jpg
tokyo-A1311-A131101-13181146,はすの里 新御徒町本店,3.79, 新御徒町駅 282m / タイ料理、タイカレー,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13181146/,https://tblg.k-img.com/restaurant/images/Rvw/89703/89703833.jpg
tokyo-A1311-A131101-13127383,麺屋武蔵　武骨相傳,3.5, 京成上野駅 149m / ラーメン、つけ麺,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13127383/,https://tblg.k-img.com/restaurant/images/Rvw/112783/112783351.jpg
tokyo-A1311-A131101-13164551,魚草,3.57, 上野御徒町駅 224m / 魚介料理・海鮮料理、立ち飲み居酒屋・バー,"[2000, 2999]",[0],https://tabelog.com/tokyo/A1311/A131101/13164551/,https://tblg.k-img.com/restaurant/images/Rvw/32526/32526942.jpg
tokyo-A1311-A131101-13009142,フルーフ・デゥ・セゾン,3.69, 末広町駅 123m / フルーツパーラー、パフェ、カフェ,"[1000, 1999]",[0],https://tabelog.com/tokyo/A1311/A131101/13009142/,https://tblg.k-img.com/restaurant/images/Rvw/27267/27267420.jpg
tokyo-A1311-A131101-13160356,きくち,3.72, 湯島駅 121m / ふぐ、郷土料理（その他）,"[6000, 7999]","[8000, 9999]",https://tabelog.com/tokyo/A1311/A131101/13160356/,https://tblg.k-img.com/restaurant/images/Rvw/35556/35556544.jpg
tokyo-A1311-A131101-13003582,EST!,3.84, 湯島駅 164m / バー,[0],"[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13003582/,https://tblg.k-img.com/restaurant/images/Rvw/103210/103210947.jpg
tokyo-A1311-A131101-13033116,ラッフルズ カリー,3.68, 仲御徒町駅 193m / カレーライス、インドカレー,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1311/A131101/13033116/,https://tblg.k-img.com/restaurant/images/Rvw/80944/80944882.jpg
tokyo-A1311-A131101-13168513,イムアロイ,3.5, 上野広小路駅 137m / タイ料理、タイカレー,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13168513/,https://tblg.k-img.com/restaurant/images/Rvw/42066/42066075.jpg
tokyo-A1311-A131101-13036933,中華 大興,3.69, 御徒町駅 109m / 中華料理、中華麺（その他）、飲茶・点心,"[0, 999]","[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13036933/,https://tblg.k-img.com/restaurant/images/Rvw/96311/96311259.jpg
tokyo-A1311-A131101-13018459,琥珀,3.61, 上野広小路駅 211m / バー,[0],"[3000, 3999]",https://tabelog.com/tokyo/A1311/A131101/13018459/,https://tblg.k-img.com/restaurant/images/Rvw/92685/92685908.jpg
tokyo-A1311-A131101-13136639,さんじ,3.72, 稲荷町駅 210m / ラーメン、つけ麺,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13136639/,https://tblg.k-img.com/restaurant/images/Rvw/36066/36066238.jpg
tokyo-A1311-A131101-13116444,魁 肉盛りつけ麺 六代目 けいすけ 湯島店,3.53, 湯島駅 162m / つけ麺、ラーメン,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1311/A131101/13116444/,https://tblg.k-img.com/restaurant/images/Rvw/112008/112008936.jpg
tokyo-A1311-A131101-13102084,焼肉 やまだ,3.63, 上野広小路駅 104m / 焼肉,[0],"[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13102084/,https://tblg.k-img.com/restaurant/images/Rvw/92356/92356969.jpg
tokyo-A1311-A131101-13213161,ヘンリーズ バーガー 秋葉原,3.7, 末広町駅 135m / ハンバーガー,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13213161/,https://tblg.k-img.com/restaurant/images/Rvw/75556/75556392.jpg
tokyo-A1310-A131001-13113589,あきば,3.63, 秋葉原駅 366m / 立ち食いそば、そば、うどん,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1310/A131001/13113589/,https://tblg.k-img.com/restaurant/images/Rvw/39107/39107811.jpg
tokyo-A1311-A131101-13146187,上野精養軒 3153店,3.56, 京成上野駅 121m / 洋食、フレンチ,"[1000, 1999]","[2000, 2999]",https://tabelog.com/tokyo/A1311/A131101/13146187/,https://tblg.k-img.com/restaurant/images/Rvw/21594/21594711.jpg
tokyo-A1311-A131101-13137336,田中そば店 秋葉原店,3.71, 末広町駅 115m / ラーメン,"[1000, 1999]",[0],https://tabelog.com/tokyo/A1311/A131101/13137336/,https://tblg.k-img.com/restaurant/images/Rvw/80866/80866542.jpg
tokyo-A1311-A131101-13135093,味噌坐　玉響,3.53, 上野広小路駅 178m / 居酒屋、和食（その他）、日本酒バー,[0],"[4000, 4999]",https://tabelog.com/tokyo/A1311/A131101/13135093/,https://tblg.k-img.com/restaurant/images/Rvw/108271/108271267.jpg
tokyo-A1311-A131101-13092080,鳥恵,3.64, 湯島駅 157m / 焼鳥、鳥料理、居酒屋,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1311/A131101/13092080/,https://tblg.k-img.com/restaurant/images/Rvw/89148/89148755.jpg
tokyo-A1311-A131101-13005084,吉仙,3.6, 仲御徒町駅 81m / そば,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1311/A131101/13005084/,https://tblg.k-img.com/restaurant/images/Rvw/113301/113301974.jpg
tokyo-A1311-A131101-13199049,百年本舗 秋葉原総本店,3.56, 末広町駅 71m / ラーメン、油そば、つけ麺,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1311/A131101/13199049/,https://tblg.k-img.com/restaurant/images/Rvw/112516/112516918.jpg
tokyo-A1311-A131101-13003585,龜屋 一睡亭,3.7, 京成上野駅 180m / うなぎ、懐石・会席料理,"[8000, 9999]","[6000, 7999]",https://tabelog.com/tokyo/A1311/A131101/13003585/,https://tblg.k-img.com/restaurant/images/Rvw/38255/38255463.jpg
tokyo-A1311-A131101-13096305,アーンドラ・キッチン,3.77, 御徒町駅 194m / インド料理、インドカレー、ダイニングバー,"[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1311/A131101/13096305/,https://tblg.k-img.com/restaurant/images/Rvw/23756/23756096.jpg
tokyo-A1311-A131101-13054332,蒙古タンメン中本 御徒町店,3.5, 御徒町駅 174m / ラーメン、つけ麺、丼もの（その他）,"[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1311/A131101/13054332/,https://tblg.k-img.com/restaurant/images/Rvw/53553/53553023.jpg
tokyo-A1311-A131101-13149347,サカノウエカフェ,3.62, 湯島駅 338m / カフェ、かき氷,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13149347/,https://tblg.k-img.com/restaurant/images/Rvw/67470/67470796.jpg
tokyo-A1311-A131101-13024952,立飲み たきおか,3.61, 京成上野駅 234m / 立ち飲み居酒屋・バー、もつ焼き,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1311/A131101/13024952/,https://tblg.k-img.com/restaurant/images/Rvw/73384/73384337.jpg
