id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1308-A130802-13002900,春秋 溜池山王店,3.54, 溜池山王駅 106m / 和食（その他）、魚介料理・海鮮料理、居酒屋,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130802/13002900/,https://tblg.k-img.com/restaurant/images/Rvw/23895/23895299.jpg
tokyo-A1308-A130801-13207225,和酒旬菜 縷々,3.51, 赤坂駅 296m / 居酒屋、日本酒バー、創作料理,"[0, 999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13207225/,https://tblg.k-img.com/restaurant/images/Rvw/88609/88609195.jpg
tokyo-A1308-A130801-13080895,赤坂 金舌,3.75, 赤坂見附駅 236m / 炭火焼き、牛タン、牛料理,"[1000, 1999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13080895/,https://tblg.k-img.com/restaurant/images/Rvw/104902/104902538.jpg
tokyo-A1308-A130801-13004955,赤坂 ざんまい,3.67, 赤坂見附駅 32m / 焼鳥、居酒屋、和食（その他）,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13004955/,https://tblg.k-img.com/restaurant/images/Rvw/15898/15898407.jpg
tokyo-A1308-A130801-13051353,ビルボケ,3.55, 赤坂駅 198m / ビストロ、ワインバー、洋食・欧風料理（その他）,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13051353/,https://tblg.k-img.com/restaurant/images/Rvw/86044/86044117.jpg
tokyo-A1308-A130801-13007865,宮川本廛 赤坂店,3.65, 赤坂駅 128m / うなぎ、丼もの（その他）、懐石・会席料理,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13007865/,https://tblg.k-img.com/restaurant/images/Rvw/26901/26901768.jpg
tokyo-A1308-A130801-13047568,P.C.A. Pub Cardinal Akasaka,3.53, 赤坂駅 91m / ダイニングバー、スペイン料理、パブ,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130801/13047568/,https://tblg.k-img.com/restaurant/images/Rvw/45596/45596009.jpg
tokyo-A1308-A130801-13017881,九州郷土料理 赤坂有薫,3.63, 赤坂見附駅 38m / 居酒屋、郷土料理（その他）、魚介料理・海鮮料理,"[0, 999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13017881/,https://tblg.k-img.com/restaurant/images/Rvw/4907/4907325.jpg
tokyo-A1308-A130803-13041305,ビューアンドダイニングザスカイ,3.71, 永田町駅 529m / バイキング、バー,"[6000, 7999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130803/13041305/,https://tblg.k-img.com/restaurant/images/Rvw/58258/58258407.jpg
tokyo-A1308-A130801-13225195,WE ARE THE FARM 赤坂,3.51, 赤坂駅 233m / イタリアン、ビストロ、バル・バール,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13225195/,https://tblg.k-img.com/restaurant/images/Rvw/91713/91713902.jpg
tokyo-A1308-A130801-13226050,しゃぶしゃぶ KINTAN 赤坂,3.51, 赤坂駅 215m / しゃぶしゃぶ、豚しゃぶ、すき焼き,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13226050/,https://tblg.k-img.com/restaurant/images/Rvw/111267/111267323.jpg
tokyo-A1308-A130801-13007891,オゴ オノロア ハワイ,3.51, 赤坂駅 209m / ハワイ料理、アメリカ料理、ダイニングバー,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130801/13007891/,https://tblg.k-img.com/restaurant/images/Rvw/96055/96055459.jpg
tokyo-A1308-A130801-13155259,鳳,3.55, 赤坂駅 230m / 焼鳥、居酒屋、水炊き,[0],"[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13155259/,https://tblg.k-img.com/restaurant/images/Rvw/39581/39581075.jpg
tokyo-A1308-A130801-13015193,しゃぶ玄,3.56, 赤坂見附駅 33m / しゃぶしゃぶ、鍋（その他）、和食（その他）,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13015193/,https://tblg.k-img.com/restaurant/images/Rvw/103730/103730177.jpg
tokyo-A1308-A130801-13196195,NoMad Grill,3.64, 永田町駅 242m / ステーキ、焼肉、フレンチ,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13196195/,https://tblg.k-img.com/restaurant/images/Rvw/106719/106719101.jpg
